2026-09-23 14:10:04,441 | INFO | MainThread | 步骤1/4 数据输入与特征提取
2026-09-23 14:10:05,911 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 1/8: objective=0.772965, delta=0.075685
2026-09-23 14:10:05,952 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 6/8: objective=0.841942, delta=0.000854
2026-09-23 14:10:05,989 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 2/8: objective=0.750002, delta=0.012038
2026-09-23 14:10:06,014 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 7/8: objective=0.841885, delta=0.000572
2026-09-23 14:10:06,069 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 8/8: objective=0.841851, delta=0.000457
2026-09-23 14:10:06,072 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 3/8: objective=0.748474, delta=0.004481
2026-09-23 14:10:06,085 | INFO | MainThread | [2/3] -3g5yACwYnA$_$2 completed: objective=0.841851, uncertainty=0.3035 (0.83s)
2026-09-23 14:10:06,123 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 4/8: objective=0.747944, delta=0.001974
2026-09-23 14:10:06,169 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 5/8: objective=0.747709, delta=0.001100
2026-09-23 14:10:06,214 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 6/8: objective=0.747591, delta=0.000657
2026-09-23 14:10:06,260 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 7/8: objective=0.747527, delta=0.000400
2026-09-23 14:10:06,305 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 8/8: objective=0.747491, delta=0.000246
2026-09-23 14:10:06,320 | INFO | MainThread | [3/3] -3g5yACwYnA$_$3 completed: objective=0.747491, uncertainty=0.3244 (0.61s)
2026-09-23 14:10:06,354 | INFO | MainThread | 步骤4/4 结果输出与可视化
2026-09-23 14:13:14,787 | INFO | MainThread | 步骤1/4 数据输入与特征提取
2026-09-23 14:13:14,807 | INFO | MainThread | 特征提取开始: 样本=100, workers=4, overwrite=True
2026-09-23 14:13:15,188 | INFO | MainThread | [1/100] -3g5yACwYnA$_$13 completed (0.38s)
2026-09-23 14:13:15,317 | INFO | MainThread | [2/100] -3g5yACwYnA$_$9 completed (0.51s)
2026-09-23 14:13:15,357 | INFO | MainThread | [3/100] -3g5yACwYnA$_$2 completed (0.55s)
2026-09-23 14:13:15,368 | INFO | MainThread | [4/100] -3nNcZdcdvU$_$5 completed (0.18s)
2026-09-23 14:13:15,490 | INFO | MainThread | [5/100] -571d8cVauQ$_$0 completed (0.17s)
2026-09-23 14:13:15,601 | INFO | MainThread | [6/100] -3g5yACwYnA$_$3 completed (0.79s)
2026-09-23 14:13:15,674 | INFO | MainThread | [7/100] -6rXp3zJ3kc$_$8 completed (0.31s)
2026-09-23 14:13:15,766 | INFO | MainThread | [8/100] -9y-fZ3swSY$_$4 completed (0.16s)
2026-09-23 14:13:15,781 | INFO | MainThread | [9/100] -571d8cVauQ$_$5 completed (0.42s)
2026-09-23 14:13:15,888 | INFO | MainThread | [10/100] -9y-fZ3swSY$_$0 completed (0.40s)
2026-09-23 14:13:15,982 | INFO | MainThread | [11/100] -9y-fZ3swSY$_$8 completed (0.31s)
2026-09-23 14:13:16,049 | INFO | MainThread | [12/100] -HeZS2-Prhc$_$2 completed (0.27s)
2026-09-23 14:13:16,119 | INFO | MainThread | [13/100] -HwX2H8Z4hY$_$2 completed (0.23s)
2026-09-23 14:13:16,252 | INFO | MainThread | [14/100] -HwX2H8Z4hY$_$6 completed (0.20s)
2026-09-23 14:13:16,306 | INFO | MainThread | [15/100] -HwX2H8Z4hY$_$5 completed (0.32s)
2026-09-23 14:13:16,488 | INFO | MainThread | [16/100] -I_e4mIh0yE$_$1 completed (0.24s)
2026-09-23 14:13:16,510 | INFO | MainThread | [17/100] -HwX2H8Z4hY$_$9 completed (0.39s)
2026-09-23 14:13:16,596 | INFO | MainThread | [18/100] -I_e4mIh0yE$_$3 completed (0.29s)
2026-09-23 14:13:16,712 | INFO | MainThread | [19/100] -MeTTeMJBNc$_$13 completed (0.20s)
2026-09-23 14:13:16,835 | INFO | MainThread | [20/100] -MeTTeMJBNc$_$0 completed (0.35s)
2026-09-23 14:13:17,002 | INFO | MainThread | [21/100] -MeTTeMJBNc$_$7 completed (0.41s)
2026-09-23 14:13:17,158 | INFO | MainThread | [22/100] -AUZQgSxyPQ$_$2 completed (1.39s)
2026-09-23 14:13:17,168 | INFO | MainThread | [23/100] -NFrJFQijFE$_$1 completed (0.46s)
2026-09-23 14:13:17,327 | INFO | MainThread | [24/100] -NFrJFQijFE$_$2 completed (0.49s)
2026-09-23 14:13:17,380 | INFO | MainThread | [25/100] -RfYyzHpjk4$_$11 completed (0.38s)
2026-09-23 14:13:17,479 | INFO | MainThread | [26/100] -RfYyzHpjk4$_$8 completed (0.31s)
2026-09-23 14:13:17,535 | INFO | MainThread | [27/100] -RfYyzHpjk4$_$2 completed (0.38s)
2026-09-23 14:13:17,543 | INFO | MainThread | [28/100] -THoVjtIkeU$_$2 completed (0.16s)
2026-09-23 14:13:17,727 | INFO | MainThread | [29/100] -THoVjtIkeU$_$6 completed (0.25s)
2026-09-23 14:13:17,734 | INFO | MainThread | [30/100] -UacrmKiTn4$_$10 completed (0.19s)
2026-09-23 14:13:17,738 | INFO | MainThread | [31/100] -UUCSKoHeMA$_$0 completed (0.20s)
2026-09-23 14:13:17,841 | INFO | MainThread | [32/100] -THoVjtIkeU$_$12 completed (0.51s)
2026-09-23 14:13:17,927 | INFO | MainThread | [33/100] -UacrmKiTn4$_$4 completed (0.20s)
2026-09-23 14:13:18,069 | INFO | MainThread | [34/100] -UuX1xuaiiE$_$0 completed (0.33s)
2026-09-23 14:13:18,174 | INFO | MainThread | [35/100] -UuX1xuaiiE$_$3 completed (0.33s)
2026-09-23 14:13:18,374 | INFO | MainThread | [36/100] -aNfi7CP8vM$_$7 completed (0.20s)
2026-09-23 14:13:18,428 | INFO | MainThread | [37/100] -UuX1xuaiiE$_$6 completed (0.50s)
2026-09-23 14:13:18,455 | INFO | MainThread | [38/100] -UuX1xuaiiE$_$1 completed (0.72s)
2026-09-23 14:13:18,594 | INFO | MainThread | [39/100] -a55Q6RWvTA$_$3 completed (0.53s)
2026-09-23 14:13:18,787 | INFO | MainThread | [40/100] -dxfTGcXJoc$_$1 completed (0.33s)
2026-09-23 14:13:18,875 | INFO | MainThread | [41/100] -dxfTGcXJoc$_$0 completed (0.45s)
2026-09-23 14:13:18,998 | INFO | MainThread | [42/100] -aqamKhZ1Ec$_$0 completed (0.62s)
2026-09-23 14:13:19,000 | INFO | MainThread | [43/100] -dxfTGcXJoc$_$2 completed (0.41s)
2026-09-23 14:13:19,174 | INFO | MainThread | [44/100] -dxfTGcXJoc$_$6 completed (0.39s)
2026-09-23 14:13:19,222 | INFO | MainThread | [45/100] -egA8-b7-3M$_$13 completed (0.22s)
2026-09-23 14:13:19,270 | INFO | MainThread | [46/100] -egA8-b7-3M$_$16 completed (0.27s)
2026-09-23 14:13:19,334 | INFO | MainThread | [47/100] -egA8-b7-3M$_$1 completed (0.46s)
2026-09-23 14:13:19,444 | INFO | MainThread | [48/100] -egA8-b7-3M$_$17 completed (0.27s)
2026-09-23 14:13:19,489 | INFO | MainThread | [49/100] -egA8-b7-3M$_$20 completed (0.22s)
2026-09-23 14:13:19,502 | INFO | MainThread | [50/100] -egA8-b7-3M$_$18 completed (0.28s)
2026-09-23 14:13:19,504 | INFO | MainThread | [51/100] -egA8-b7-3M$_$26 completed (0.17s)
2026-09-23 14:13:19,640 | INFO | MainThread | [52/100] -egA8-b7-3M$_$9 completed (0.15s)
2026-09-23 14:13:19,646 | INFO | MainThread | [53/100] -egA8-b7-3M$_$6 completed (0.20s)
2026-09-23 14:13:19,806 | INFO | MainThread | [54/100] -iRBcNs9oI8$_$6 completed (0.16s)
2026-09-23 14:13:19,858 | INFO | MainThread | [55/100] -hnBHBN8p5A$_$6 completed (0.36s)
2026-09-23 14:13:19,920 | INFO | MainThread | [56/100] -hnBHBN8p5A$_$7 completed (0.42s)
2026-09-23 14:13:19,977 | INFO | MainThread | [57/100] -iRBcNs9oI8$_$3 completed (0.34s)
2026-09-23 14:13:20,112 | INFO | MainThread | [58/100] -iRBcNs9oI8$_$7 completed (0.31s)
2026-09-23 14:13:20,224 | INFO | MainThread | [59/100] -iRBcNs9oI8$_$9 completed (0.30s)
2026-09-23 14:13:20,288 | INFO | MainThread | [60/100] -lzEya4AM_4$_$5 completed (0.31s)
2026-09-23 14:13:20,435 | INFO | MainThread | [61/100] -iRBcNs9oI8$_$8 completed (0.58s)
2026-09-23 14:13:20,556 | INFO | MainThread | [62/100] -lzEya4AM_4$_$6 completed (0.44s)
2026-09-23 14:13:20,565 | INFO | MainThread | [63/100] -mJ2ud6oKI8$_$1 completed (0.34s)
2026-09-23 14:13:20,600 | INFO | MainThread | [64/100] -mJ2ud6oKI8$_$6 completed (0.16s)
2026-09-23 14:13:20,654 | INFO | MainThread | [65/100] -mJ2ud6oKI8$_$2 completed (0.37s)
2026-09-23 14:13:20,821 | INFO | MainThread | [66/100] -qDkUB0GgYY$_$6 completed (0.17s)
2026-09-23 14:13:20,857 | INFO | MainThread | [67/100] -mJ2ud6oKI8$_$8 completed (0.30s)
2026-09-23 14:13:21,024 | INFO | MainThread | [68/100] -ri04Z7vwnc$_$0 completed (0.20s)
2026-09-23 14:13:21,024 | INFO | MainThread | [69/100] -mqbVkbCndg$_$0 completed (0.42s)
2026-09-23 14:13:21,063 | INFO | MainThread | [70/100] -mJ2ud6oKI8$_$9 completed (0.50s)
2026-09-23 14:13:21,267 | INFO | MainThread | [71/100] -ri04Z7vwnc$_$2 completed (0.41s)
2026-09-23 14:13:21,274 | INFO | MainThread | [72/100] -ri04Z7vwnc$_$5 completed (0.25s)
2026-09-23 14:13:21,369 | INFO | MainThread | [73/100] -s9qJ7ATP7w$_$1 completed (0.31s)
2026-09-23 14:13:21,477 | INFO | MainThread | [74/100] -s9qJ7ATP7w$_$0 completed (0.45s)
2026-09-23 14:13:21,531 | INFO | MainThread | [75/100] -s9qJ7ATP7w$_$6 completed (0.16s)
2026-09-23 14:13:21,542 | INFO | MainThread | [76/100] -s9qJ7ATP7w$_$4 completed (0.27s)
2026-09-23 14:13:21,684 | INFO | MainThread | [77/100] -t217m2on-s$_$2 completed (0.14s)
2026-09-23 14:13:21,769 | INFO | MainThread | [78/100] -s9qJ7ATP7w$_$8 completed (0.24s)
2026-09-23 14:13:21,800 | INFO | MainThread | [79/100] -s9qJ7ATP7w$_$5 completed (0.53s)
2026-09-23 14:13:21,927 | INFO | MainThread | [80/100] -tPCytz4rww$_$10 completed (0.13s)
2026-09-23 14:13:21,974 | INFO | MainThread | [81/100] -s9qJ7ATP7w$_$7 completed (0.50s)
2026-09-23 14:13:22,105 | INFO | MainThread | [82/100] -tPCytz4rww$_$11 completed (0.18s)
2026-09-23 14:13:22,184 | INFO | MainThread | [83/100] -t217m2on-s$_$7 completed (0.50s)
2026-09-23 14:13:22,216 | INFO | MainThread | [84/100] -tANM6ETl_M$_$3 completed (0.45s)
2026-09-23 14:13:22,399 | INFO | MainThread | [85/100] -tPCytz4rww$_$12 completed (0.42s)
2026-09-23 14:13:22,440 | INFO | MainThread | [86/100] -tPCytz4rww$_$16 completed (0.33s)
2026-09-23 14:13:22,467 | INFO | MainThread | [87/100] -uywlfIYOS8$_$4 completed (0.25s)
2026-09-23 14:13:22,549 | INFO | MainThread | [88/100] -tPCytz4rww$_$18 completed (0.36s)
2026-09-23 14:13:22,741 | INFO | MainThread | [89/100] -wMB_hJL-3o$_$7 completed (0.30s)
2026-09-23 14:13:22,792 | INFO | MainThread | [90/100] -vxjVxOeScU$_$4 completed (0.39s)
2026-09-23 14:13:22,841 | INFO | MainThread | [91/100] -wny0OAz3g8$_$0 completed (0.37s)
2026-09-23 14:13:23,148 | INFO | MainThread | [92/100] -wny0OAz3g8$_$1 completed (0.60s)
2026-09-23 14:13:23,325 | INFO | MainThread | [93/100] -wny0OAz3g8$_$2 completed (0.58s)
2026-09-23 14:13:23,346 | INFO | MainThread | [94/100] -wny0OAz3g8$_$3 completed (0.55s)
2026-09-23 14:13:23,477 | INFO | MainThread | [95/100] -wny0OAz3g8$_$5 completed (0.64s)
2026-09-23 14:13:23,887 | INFO | MainThread | [96/100] -wny0OAz3g8$_$9 completed (0.56s)
2026-09-23 14:13:23,911 | INFO | MainThread | [97/100] -wny0OAz3g8$_$7 completed (0.76s)
2026-09-23 14:13:24,439 | INFO | MainThread | [98/100] -yRb-Jum7EQ$_$5 completed (0.96s)
2026-09-23 14:13:24,631 | INFO | MainThread | [99/100] -yRb-Jum7EQ$_$6 completed (0.74s)
2026-09-23 14:13:25,248 | INFO | MainThread | [100/100] -yRb-Jum7EQ$_$1 completed (1.90s)
2026-09-23 14:13:28,096 | INFO | MainThread | 步骤2/4 参数初始化: config_fingerprint=c520a7fa1244
2026-09-23 14:13:28,096 | INFO | MainThread | 步骤3/4 模型调用
2026-09-23 14:13:28,098 | INFO | MainThread | 模型求解开始: 样本=100, alignment_workers=2, overwrite=True
2026-09-23 14:13:28,286 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 1/8: objective=1.214801, delta=0.130118
2026-09-23 14:13:28,338 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 1/8: objective=1.374632, delta=0.115445
2026-09-23 14:13:28,359 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 2/8: objective=1.173682, delta=0.001794
2026-09-23 14:13:28,414 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 3/8: objective=1.173770, delta=0.000072
2026-09-23 14:13:28,430 | INFO | MainThread | [1/100] -3g5yACwYnA$_$13 completed: objective=1.173770, uncertainty=0.3115 (0.33s)
2026-09-23 14:13:28,542 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 2/8: objective=1.353845, delta=0.002038
2026-09-23 14:13:28,633 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 3/8: objective=1.353778, delta=0.000081
2026-09-23 14:13:28,655 | INFO | MainThread | [2/100] -3g5yACwYnA$_$2 completed: objective=1.353778, uncertainty=0.2413 (0.56s)
2026-09-23 14:13:28,772 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 1/8: objective=1.189637, delta=0.087351
2026-09-23 14:13:28,841 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 1/8: objective=1.329548, delta=0.153906
2026-09-23 14:13:28,897 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 2/8: objective=1.161562, delta=0.001901
2026-09-23 14:13:28,947 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 2/8: objective=1.271788, delta=0.005781
2026-09-23 14:13:29,014 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 3/8: objective=1.161432, delta=0.000119
2026-09-23 14:13:29,043 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 3/8: objective=1.271812, delta=0.000282
2026-09-23 14:13:29,153 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 4/8: objective=1.271813, delta=0.000017
2026-09-23 14:13:29,161 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 4/8: objective=1.161426, delta=0.000010
2026-09-23 14:13:29,170 | INFO | MainThread | [3/100] -3g5yACwYnA$_$9 completed: objective=1.271813, uncertainty=0.2956 (0.51s)
2026-09-23 14:13:29,178 | INFO | MainThread | [4/100] -3g5yACwYnA$_$3 completed: objective=1.161426, uncertainty=0.2460 (0.75s)
2026-09-23 14:13:29,335 | INFO | p1-align_0 | -571d8cVauQ$_$0 对齐迭代 1/8: objective=1.461556, delta=0.131165
2026-09-23 14:13:29,367 | INFO | p1-align_1 | -3nNcZdcdvU$_$5 对齐迭代 1/8: objective=1.570170, delta=0.144548
2026-09-23 14:13:29,394 | INFO | p1-align_0 | -571d8cVauQ$_$0 对齐迭代 2/8: objective=1.416617, delta=0.002752
2026-09-23 14:13:29,448 | INFO | p1-align_0 | -571d8cVauQ$_$0 对齐迭代 3/8: objective=1.416419, delta=0.000086
2026-09-23 14:13:29,462 | INFO | MainThread | [5/100] -571d8cVauQ$_$0 completed: objective=1.416419, uncertainty=0.2977 (0.28s)
2026-09-23 14:13:29,473 | INFO | p1-align_1 | -3nNcZdcdvU$_$5 对齐迭代 2/8: objective=1.514552, delta=0.005356
2026-09-23 14:13:29,682 | INFO | p1-align_1 | -3nNcZdcdvU$_$5 对齐迭代 3/8: objective=1.515215, delta=0.000087
2026-09-23 14:13:29,697 | INFO | MainThread | [6/100] -3nNcZdcdvU$_$5 completed: objective=1.515215, uncertainty=0.2893 (0.53s)
2026-09-23 14:13:29,857 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 1/8: objective=1.182602, delta=0.115394
2026-09-23 14:13:29,917 | INFO | p1-align_1 | -6rXp3zJ3kc$_$8 对齐迭代 1/8: objective=1.397469, delta=0.104499
2026-09-23 14:13:29,989 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 2/8: objective=1.137174, delta=0.003646
2026-09-23 14:13:30,024 | INFO | p1-align_1 | -6rXp3zJ3kc$_$8 对齐迭代 2/8: objective=1.357203, delta=0.001641
2026-09-23 14:13:30,112 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 3/8: objective=1.136991, delta=0.000319
2026-09-23 14:13:30,136 | INFO | p1-align_1 | -6rXp3zJ3kc$_$8 对齐迭代 3/8: objective=1.357258, delta=0.000043
2026-09-23 14:13:30,152 | INFO | MainThread | [7/100] -6rXp3zJ3kc$_$8 completed: objective=1.357258, uncertainty=0.2733 (0.46s)
2026-09-23 14:13:30,298 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 1/8: objective=1.774063, delta=0.129634
2026-09-23 14:13:30,337 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 4/8: objective=1.136974, delta=0.000034
2026-09-23 14:13:30,359 | INFO | MainThread | [8/100] -571d8cVauQ$_$5 completed: objective=1.136974, uncertainty=0.2569 (0.90s)
2026-09-23 14:13:30,462 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 2/8: objective=1.706760, delta=0.002750
2026-09-23 14:13:30,520 | INFO | p1-align_0 | -9y-fZ3swSY$_$4 对齐迭代 1/8: objective=1.275011, delta=0.122654
2026-09-23 14:13:30,609 | INFO | p1-align_0 | -9y-fZ3swSY$_$4 对齐迭代 2/8: objective=1.236187, delta=0.000739
2026-09-23 14:13:30,636 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 3/8: objective=1.706705, delta=0.000231
2026-09-23 14:13:30,668 | INFO | p1-align_0 | -9y-fZ3swSY$_$4 对齐迭代 3/8: objective=1.236273, delta=0.000008
2026-09-23 14:13:30,680 | INFO | MainThread | [9/100] -9y-fZ3swSY$_$4 completed: objective=1.236273, uncertainty=0.3835 (0.32s)
2026-09-23 14:13:30,763 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 4/8: objective=1.706703, delta=0.000022
2026-09-23 14:13:30,777 | INFO | MainThread | [10/100] -9y-fZ3swSY$_$0 completed: objective=1.706703, uncertainty=0.3486 (0.62s)
2026-09-23 14:13:30,937 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 1/8: objective=1.375177, delta=0.115314
2026-09-23 14:13:31,036 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 2/8: objective=1.322442, delta=0.003129
2026-09-23 14:13:31,085 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 3/8: objective=1.322317, delta=0.000119
2026-09-23 14:13:31,138 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 4/8: objective=1.322315, delta=0.000005
2026-09-23 14:13:31,152 | INFO | MainThread | [11/100] -9y-fZ3swSY$_$8 completed: objective=1.322315, uncertainty=0.3309 (0.47s)
2026-09-23 14:13:31,233 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 1/8: objective=1.747191, delta=0.118873
2026-09-23 14:13:31,303 | INFO | p1-align_0 | -HeZS2-Prhc$_$2 对齐迭代 1/8: objective=1.355659, delta=0.119512
2026-09-23 14:13:31,379 | INFO | p1-align_0 | -HeZS2-Prhc$_$2 对齐迭代 2/8: objective=1.308528, delta=0.001048
2026-09-23 14:13:31,416 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 2/8: objective=1.703398, delta=0.002961
2026-09-23 14:13:31,474 | INFO | p1-align_0 | -HeZS2-Prhc$_$2 对齐迭代 3/8: objective=1.308520, delta=0.000028
2026-09-23 14:13:31,493 | INFO | MainThread | [12/100] -HeZS2-Prhc$_$2 completed: objective=1.308520, uncertainty=0.2753 (0.34s)
2026-09-23 14:13:31,595 | INFO | p1-align_0 | -HwX2H8Z4hY$_$2 对齐迭代 1/8: objective=1.093999, delta=0.139229
2026-09-23 14:13:31,649 | INFO | p1-align_0 | -HwX2H8Z4hY$_$2 对齐迭代 2/8: objective=1.024725, delta=0.001199
2026-09-23 14:13:31,679 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 3/8: objective=1.703505, delta=0.000171
2026-09-23 14:13:31,706 | INFO | p1-align_0 | -HwX2H8Z4hY$_$2 对齐迭代 3/8: objective=1.024758, delta=0.000030
2026-09-23 14:13:31,720 | INFO | MainThread | [13/100] -HwX2H8Z4hY$_$2 completed: objective=1.024758, uncertainty=0.3502 (0.23s)
2026-09-23 14:13:31,823 | INFO | p1-align_0 | -HwX2H8Z4hY$_$5 对齐迭代 1/8: objective=1.830486, delta=0.148032
2026-09-23 14:13:31,882 | INFO | p1-align_0 | -HwX2H8Z4hY$_$5 对齐迭代 2/8: objective=1.745728, delta=0.001837
2026-09-23 14:13:31,930 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 4/8: objective=1.703509, delta=0.000012
2026-09-23 14:13:31,951 | INFO | p1-align_0 | -HwX2H8Z4hY$_$5 对齐迭代 3/8: objective=1.745406, delta=0.000045
2026-09-23 14:13:31,964 | INFO | MainThread | [14/100] -AUZQgSxyPQ$_$2 completed: objective=1.703509, uncertainty=0.2389 (1.19s)
2026-09-23 14:13:31,967 | INFO | MainThread | [15/100] -HwX2H8Z4hY$_$5 completed: objective=1.745406, uncertainty=0.3090 (0.25s)
2026-09-23 14:13:32,116 | INFO | p1-align_1 | -HwX2H8Z4hY$_$6 对齐迭代 1/8: objective=1.278331, delta=0.111494
2026-09-23 14:13:32,180 | INFO | p1-align_1 | -HwX2H8Z4hY$_$6 对齐迭代 2/8: objective=1.244542, delta=0.002700
2026-09-23 14:13:32,181 | INFO | p1-align_0 | -HwX2H8Z4hY$_$9 对齐迭代 1/8: objective=1.553836, delta=0.122006
2026-09-23 14:13:32,237 | INFO | p1-align_1 | -HwX2H8Z4hY$_$6 对齐迭代 3/8: objective=1.244792, delta=0.000125
2026-09-23 14:13:32,291 | INFO | p1-align_0 | -HwX2H8Z4hY$_$9 对齐迭代 2/8: objective=1.513141, delta=0.001945
2026-09-23 14:13:32,309 | INFO | p1-align_1 | -HwX2H8Z4hY$_$6 对齐迭代 4/8: objective=1.244803, delta=0.000006
2026-09-23 14:13:32,322 | INFO | MainThread | [16/100] -HwX2H8Z4hY$_$6 completed: objective=1.244803, uncertainty=0.3178 (0.36s)
2026-09-23 14:13:32,446 | INFO | p1-align_0 | -HwX2H8Z4hY$_$9 对齐迭代 3/8: objective=1.513201, delta=0.000080
2026-09-23 14:13:32,462 | INFO | MainThread | [17/100] -HwX2H8Z4hY$_$9 completed: objective=1.513201, uncertainty=0.3107 (0.49s)
2026-09-23 14:13:32,554 | INFO | p1-align_1 | -I_e4mIh0yE$_$1 对齐迭代 1/8: objective=1.384921, delta=0.118421
2026-09-23 14:13:32,627 | INFO | p1-align_1 | -I_e4mIh0yE$_$1 对齐迭代 2/8: objective=1.338296, delta=0.001428
2026-09-23 14:13:32,653 | INFO | p1-align_0 | -I_e4mIh0yE$_$3 对齐迭代 1/8: objective=1.381827, delta=0.115297
2026-09-23 14:13:32,713 | INFO | p1-align_1 | -I_e4mIh0yE$_$1 对齐迭代 3/8: objective=1.338136, delta=0.000076
2026-09-23 14:13:32,729 | INFO | MainThread | [18/100] -I_e4mIh0yE$_$1 completed: objective=1.338136, uncertainty=0.2952 (0.41s)
2026-09-23 14:13:32,735 | INFO | p1-align_0 | -I_e4mIh0yE$_$3 对齐迭代 2/8: objective=1.342469, delta=0.003086
2026-09-23 14:13:32,894 | INFO | p1-align_0 | -I_e4mIh0yE$_$3 对齐迭代 3/8: objective=1.342743, delta=0.000099
